divipola5,anio,hurto_personas_total,hurto_vehiculos_total,estupefacientes_operativos,estupe_basuco_cantidad,estupe_marihuana_cantidad,gasto_planeado_total,gasto_vigilancia_armada,gasto_ejecutado_total,num_procesos,num_adjudicados,tasa_competencia_promedio,tasa_adjudicacion,share_vigilancia,tuvo_secop,poblacion,hurto_personas_per_capita,hurto_vehiculos_per_capita,estupefacientes_per_capita,gasto_per_capita,gasto_ejecutado_per_capita,gasto_vigilancia_per_capita
05001,2003,2102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,2159609.0,9.733243378778289,0.0,0.0,0.0,0.0,0.0
05001,2004,2309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,2187831.0,10.553831625934544,0.0,0.0,0.0,0.0,0.0
05001,2005,3166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,2214494.0,14.296719702108021,0.0,0.0,0.0,0.0,0.0
05001,2006,1765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,2239003.0,7.882972912497213,0.0,0.0,0.0,0.0,0.0
05001,2007,1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,2265244.0,6.09205895700419,0.0,0.0,0.0,0.0,0.0
05001,2008,2126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,2291378.0,9.278259632413333,0.0,0.0,0.0,0.0,0.0
05001,2009,1746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,2317336.0,7.534513769259184,0.0,0.0,0.0,0.0,0.0
05001,2010,1383,1959.0,8959.0,170737.2,4564019.32,0.0,0.0,0.0,0.0,0.0,,,,0,2343049.0,5.902565417966077,8.360900689656939,38.23650294978893,0.0,0.0,0.0
05001,2011,1434,6950.0,8651.0,173778.2,13384426.0,0.0,0.0,0.0,0.0,0.0,,,,0,2368282.0,6.0550221637457025,29.346167390538795,36.528589078496566,0.0,0.0,0.0
05001,2012,2737,6945.0,9435.0,187237.7,7092827.4,0.0,0.0,0.0,0.0,0.0,,,,0,2393011.0,11.43747354274594,29.02201452479742,39.42731562872047,0.0,0.0,0.0
05001,2013,3542,6568.0,9321.0,311956.0,6802354.28,0.0,0.0,0.0,0.0,0.0,,,,0,2417325.0,14.652560164644804,27.17052940750623,38.55915112779622,0.0,0.0,0.0
05001,2014,4949,5864.0,10066.0,204810.8,11235701.7,0.0,0.0,0.0,0.0,0.0,,,,0,2441123.0,20.273456110159135,24.02173098201115,41.23512006564192,0.0,0.0,0.0
05001,2015,7838,5345.0,11607.0,165664.6,3292373.2,0.0,0.0,0.0,0.0,0.0,,,,0,2464322.0,31.805908481115697,21.689535701909083,47.1001760321906,0.0,0.0,0.0
05001,2016,13425,5999.0,11433.0,124827.6,4587719.3,0.0,0.0,0.0,0.0,0.0,,,,0,2486723.0,53.98671263345375,24.12411836782786,45.97617024493682,0.0,0.0,0.0
05001,2017,17825,5024.0,10680.0,191765.0,8566717.6,32229441.0,0.0,32229441.0,2.0,1.0,,0.5,0.0,1,2508452.0,71.05976115947206,20.02828836270337,42.57605886020542,12.84833873639998,12.84833873639998,0.0
05001,2018,21975,5851.0,11097.0,92886.97,3064850.7,41605441216.0,30572890027.0,16230813272.0,9.0,5.0,1.0,0.5555555555555556,0.7348291265144121,1,2529403.0,86.87820801983709,23.131940619980288,43.87201248674095,16448.71980305234,6416.855389196581,12086.998405157265
05001,2019,27263,5925.0,10810.0,72536.7,4597391.18,513379283.0,1032356.0,0.0,2.0,0.0,,0.0,0.0020109031162443692,1,2549537.0,106.93314119387168,23.239513684249335,42.39985534628444,201.36176999980782,0.0,0.4049190107850955
05001,2020,17776,5204.0,5073.0,63704.9,1442361.53,35878747800.0,27897699241.0,28578020164.0,5.0,3.0,0.75,0.6,0.7775549859351557,1,2519592.0,70.5511050995558,20.654137654032876,20.134212205785698,14239.90384157435,11342.320567774465,11072.308231253313
05001,2021,23703,5671.0,6178.0,47830.2,2105447.5,43034286567.0,32594165458.0,38521059663.0,18.0,8.0,0.5002420422128452,0.4444444444444444,0.7573999259231172,1,2549008.0,92.98911576581949,22.247870544148938,24.236879601790186,16882.75853469271,15112.176840166841,12787.000063554136
05001,2022,28733,6958.0,8113.0,76340.9,2401713.69,114587310651.0,26499504867.0,59620888815.0,119.0,16.0,0.29802933898904205,0.13445378151260504,0.23126037880154002,1,2572350.0,111.69941881936751,27.04919626022897,31.539253989542633,44545.76968569596,23177.595900635606,10301.671571520204
05001,2023,32439,7547.0,7892.0,68803.3,5301818.9,265663260878.0,209704778298.0,2803878663.0,144.0,9.0,0.31023148148148144,0.0625,0.789363111801531,1,2595300.0,124.99133048202519,29.079489847031173,30.4088159365006,102363.2184633761,1080.367843023928,80801.74866027049
05001,2024,25172,7614.0,8900.0,76397.8,5092480.48,211591389325.0,35608029330.0,5821232595.0,193.0,12.0,0.6670054200542005,0.06217616580310881,0.1682867598893961,1,2616335.0,96.21092100208881,29.101777868659784,34.017050568830065,80873.20214154533,2224.95689389929,13609.889150280831
05001,2025,24924,6000.0,6611.0,92597.5,3550382.62,329951926480.0,214063118765.0,12668545518.0,197.0,8.0,0.20143886194896207,0.04060913705583756,0.6487706286448229,1,2634570.0,94.60367346473998,22.774114940958107,25.09327897911234,125239.38497743465,4808.581862694861,81251.63452290127
05002,2003,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,20570.0,6.319883325230919,0.0,0.0,0.0,0.0,0.0
05002,2004,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,20401.0,1.4705161511690605,0.0,0.0,0.0,0.0,0.0
05002,2005,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,20249.0,1.481554644673811,0.0,0.0,0.0,0.0,0.0
05002,2006,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,20113.0,1.4915726147267936,0.0,0.0,0.0,0.0,0.0
05002,2013,4,1.0,209.0,1068.7,30215.9,0.0,0.0,0.0,0.0,0.0,,,,0,19478.0,2.0535989321285553,0.5133997330321388,107.30054420371702,0.0,0.0,0.0
05002,2014,7,2.0,100.0,656.0,51798.0,0.0,0.0,0.0,0.0,0.0,,,,0,19382.0,3.611598390259003,1.0318852543597152,51.59426271798576,0.0,0.0,0.0
05002,2015,16,1.0,72.0,214.0,1620.0,0.0,0.0,0.0,0.0,0.0,,,,0,19290.0,8.294453084499741,0.5184033177812338,37.32503888024883,0.0,0.0,0.0
05002,2016,23,3.0,124.0,546.0,22363.0,0.0,0.0,0.0,0.0,0.0,,,,0,19195.0,11.982287053920293,1.5629070070330815,64.60015629070071,0.0,0.0,0.0
05002,2017,19,6.0,154.0,236.0,36832.0,0.0,0.0,0.0,0.0,0.0,,,,0,19096.0,9.949727691663176,3.142019271051529,80.64516129032258,0.0,0.0,0.0
05002,2018,16,0.0,163.0,858.0,12969.0,0.0,0.0,0.0,0.0,0.0,,,,0,18991.0,8.425043441630246,0.0,85.83013006160813,0.0,0.0,0.0
05002,2019,16,4.0,82.0,1307.0,11246.0,0.0,0.0,0.0,0.0,0.0,,,,0,18882.0,8.47367863573774,2.118419658934435,43.42760300815591,0.0,0.0,0.0
05002,2020,11,2.0,55.0,540.0,2560.0,0.0,0.0,0.0,0.0,0.0,,,,0,20823.0,5.282620179609086,0.9604763962925611,26.413100898045432,0.0,0.0,0.0
